Timestamp,Round_Type,Test_Name,Energy_Joules,Duration_Sec,Power_Avg_Watts
2026-02-12T17:44:06.920347,actual,jetstream,282.911105041504,14.700043,19.245597107539346
2026-02-12T17:44:25.649810,actual,control,92.16404986429214,14.673766,6.280872263077668
2026-02-12T17:44:45.152246,actual,speedometer,111.71068197488785,14.858085,7.51851143501251
2026-02-12T17:45:04.099750,actual,speedometer,115.60592141818996,14.683283,7.873302000526039
2026-02-12T17:45:22.791138,actual,control,94.91811045026786,14.688976,6.461860271966396
2026-02-12T17:45:45.824165,actual,jetstream,284.0740641083717,14.699632,19.325250054448418
2026-02-12T17:46:04.817288,actual,speedometer,124.36382209444047,14.669824,8.477526526183304
2026-02-12T17:46:28.580849,actual,motionmark,171.4190546059608,14.667265,11.687186029976331
2026-02-12T17:46:47.660548,actual,speedometer,112.97756647205351,14.684832,7.6934871622674
2026-02-12T17:47:06.330807,actual,control,94.22048184490201,14.683328,6.416834238457522
2026-02-12T17:47:29.589654,actual,motionmark,174.7770438480377,14.672682,11.911731191886915
2026-02-12T17:47:53.108842,actual,motionmark,243.00624873399738,14.791701,16.42855333095209
2026-02-12T17:48:11.963354,actual,control,176.04835150575636,14.712652,11.965779623262778
2026-02-12T17:48:35.351952,actual,motionmark,190.2501660189628,14.71419,12.92970703918889
2026-02-12T17:48:58.563704,actual,jetstream,307.14785809898376,14.754334,20.81746679307814
2026-02-12T17:49:17.368393,actual,control,118.91373823881152,14.66691,8.107620367126513
2026-02-12T17:49:40.669215,actual,motionmark,183.02799001693725,14.747931,12.410418113356867
2026-02-12T17:49:59.712861,actual,speedometer,117.31919776916504,14.676293,7.9937895604268085
2026-02-12T17:50:18.450216,actual,control,107.88228244113924,14.693382,7.342236283051733
2026-02-12T17:50:37.379993,actual,speedometer,119.43620083045961,14.679245,8.136399442236955
2026-02-12T17:50:56.286046,actual,speedometer,117.67311818790428,14.664174,8.024530954686181
2026-02-12T17:51:14.972227,actual,control,107.29194183635715,14.641121,7.328123429644298
2026-02-12T17:51:37.722295,actual,jetstream,294.0167089862823,14.733353,19.955858587402496
2026-02-12T17:51:56.691257,actual,speedometer,123.52818907594686,14.708866,8.398212960533249
2026-02-12T17:52:15.451495,actual,control,99.22203614902497,14.696229,6.751530351699404
2026-02-12T17:52:39.529413,actual,jetstream,301.70898325347883,14.717246,20.500369651596422
2026-02-12T17:53:02.889145,actual,motionmark,185.56294744539267,14.707786,12.61664722653652
2026-02-12T17:53:21.610361,actual,control,105.36322113704685,14.630905,7.201415164478673
2026-02-12T17:53:40.330607,actual,control,103.38136311960224,14.673284,7.045550479333886
2026-02-12T17:53:59.328987,actual,speedometer,124.16403563785552,14.711636,8.439852348022717
2026-02-12T17:54:22.703785,actual,jetstream,289.4163708248138,14.770529,19.594177759294457
2026-02-12T17:54:41.478954,actual,control,89.19373715591429,14.718266,6.060071013522537
2026-02-12T17:55:00.220540,actual,control,106.7093658237457,14.665767,7.276084900554174
2026-02-12T17:55:23.326769,actual,jetstream,290.63475094699845,14.758091,19.69324833049196
2026-02-12T17:55:42.489604,actual,speedometer,105.12524865102763,14.8504095,7.078946115999537
2026-02-12T17:56:01.098853,actual,control,97.84116179466247,14.630298,6.6875713532740395
2026-02-12T17:56:20.023142,actual,speedometer,109.19762482881544,14.664369,7.4464591574867915
2026-02-12T17:56:43.057583,actual,jetstream,289.9591859736443,14.679678,19.75242140690309
2026-02-12T17:57:02.089827,actual,speedometer,106.76441635370253,14.694644,7.2655326902579285
2026-02-12T17:57:25.393732,actual,motionmark,183.366057639122,14.699999,12.473882320612539
2026-02-12T17:57:48.851965,actual,motionmark,182.75666138362874,14.75637,12.384933515737863
2026-02-12T17:58:11.992669,actual,jetstream,296.4789558429719,14.701331,20.16681046382616
2026-02-12T17:58:35.345704,actual,jetstream,295.03473500728603,14.763275,19.984368983662907
2026-02-12T17:58:54.132497,actual,control,108.33472209739679,14.670903,7.384325429552414
2026-02-12T17:59:17.535041,actual,motionmark,187.77833319568634,14.707889,12.76718454944053
2026-02-12T17:59:40.966469,actual,motionmark,186.85353703975676,14.733953,12.681833384411961
2026-02-12T18:00:04.372351,actual,jetstream,302.5175838456154,14.687267,20.597268630414042
2026-02-12T18:00:23.644323,actual,speedometer,115.37680175590513,14.779134,7.80673629157873
2026-02-12T18:00:47.401464,actual,jetstream,291.25066192436213,14.815312,19.658759931911128
2026-02-12T18:01:10.818511,actual,motionmark,180.1549864554405,14.703021,12.252923154734018
2026-02-12T18:01:34.287809,actual,motionmark,189.17200653314592,14.744815,12.829730758449388
2026-02-12T18:01:53.510227,actual,speedometer,104.15142747640606,14.753604,7.059388843323032
2026-02-12T18:02:16.586815,actual,jetstream,280.14798759794235,14.726211,19.023765692202996
2026-02-12T18:02:35.816058,actual,speedometer,103.99255635166169,14.757365,7.046824168925935
2026-02-12T18:02:54.922482,actual,speedometer,105.8412312760353,14.756038,7.1727404928094725
2026-02-12T18:03:18.181048,actual,jetstream,294.84017314195637,14.872932,19.823944138382153
2026-02-12T18:03:36.978414,actual,control,99.36020634078977,14.674503,6.770941839787676
2026-02-12T18:03:55.775864,actual,control,90.41285489082335,14.722995,6.140928180089945
2026-02-12T18:04:19.148249,actual,motionmark,172.27568679618835,14.739008,11.688418026246294
2026-02-12T18:04:42.630455,actual,motionmark,164.79949507045743,14.717644,11.197410065799758
2026-02-12T18:05:06.135772,actual,motionmark,180.69526581954963,14.757181,12.244565260773697
2026-02-12T18:05:29.601489,actual,motionmark,165.79409508085257,14.72433,11.259873629622032
2026-02-12T18:05:48.807899,actual,speedometer,102.24686844158168,14.737699,6.93777695158394
2026-02-12T18:06:07.904073,actual,speedometer,103.54445436191557,14.744606,7.022531111507189
2026-02-12T18:06:26.694332,actual,control,87.82474960660933,14.712563,5.9693711834307415
2026-02-12T18:06:49.879193,actual,jetstream,283.6216656565665,14.736099,19.246726400017163
2026-02-12T18:07:13.295293,actual,motionmark,174.14936132001876,14.714102,11.835541259671759
2026-02-12T18:07:32.429830,actual,speedometer,106.91360388565059,14.767121,7.239976152809379
2026-02-12T18:07:55.847040,actual,motionmark,173.22825822544098,14.7504425,11.743936375158981
2026-02-12T18:08:15.119400,actual,speedometer,103.62617930984499,14.720271,7.039692360952118
2026-02-12T18:08:38.375078,actual,motionmark,332.2668243408202,14.73925,22.542994001785722
2026-02-12T18:08:56.669785,actual,control,274.96845648384095,14.703785,18.70052210936442
2026-02-12T18:09:20.137035,actual,jetstream,370.10329688453675,14.684386,25.203865989666625
2026-02-12T18:09:43.262577,actual,jetstream,271.0375995931626,14.701333,18.436260140026935
2026-02-12T18:10:02.405745,actual,speedometer,112.57743852281577,14.750996,7.631853369278642
2026-02-12T18:10:25.714302,actual,jetstream,274.6901127429009,14.71218,18.670932026586197
2026-02-12T18:10:48.906691,actual,jetstream,270.8806777863502,14.726701,18.3938465095713
